loss,params,iteration,estimators,train_time
0.10571604453814454,"{'bagging_fraction': 1.0, 'bagging_freq': 6, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.9239803493776533, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.024046846466137015, 'lambda_l2': 0.28676726250948337, 'learning_rate': 0.010292826806671922, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 390, 'min_gain_to_split': 0.24747874810852488, 'min_sum_hessian_in_leaf': 0.0005244490876575371, 'num_leaves': 35, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 220000, 'subsample': 0.9962184333531908}",12,4107,1040.0557713090002
0.10527826547390196,"{'bagging_fraction': 1.0, 'bagging_freq': 1, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.7387062775180984, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.0031370982022099203, 'lambda_l2': 0.5889353212998638, 'learning_rate': 0.013090497466668276, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 460, 'min_gain_to_split': 0.8482494252810078, 'min_sum_hessian_in_leaf': 0.0005399926938943856, 'num_leaves': 31, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 240000, 'subsample': 0.9397907556234788}",13,3279,645.1429741659995
0.10543617828833085,"{'bagging_fraction': 1.0, 'bagging_freq': 0, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.8206512456012561, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.0060326930084700124, 'lambda_l2': 0.6121900233359351, 'learning_rate': 0.010278035192649197, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 455, 'min_gain_to_split': 0.8381038382116758, 'min_sum_hessian_in_leaf': 0.0003554869868689287, 'num_leaves': 34, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 240000, 'subsample': 0.9167880094658586}",14,3988,910.3780863230004
0.12267589149297631,"{'bagging_fraction': 1.0, 'bagging_freq': 0, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.7383025924041002, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.18088663292669047, 'lambda_l2': 0.2556006612088504, 'learning_rate': 0.19016956324635673, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 370, 'min_gain_to_split': 0.8365487071095853, 'min_sum_hessian_in_leaf': 0.010384131933062197, 'num_leaves': 128, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 220000, 'subsample': 0.9411685944540594}",15,390,110.05708746200071
0.10663311254874552,"{'bagging_fraction': 1.0, 'bagging_freq': 6, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.6717443636674295, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.07124518938468528, 'lambda_l2': 0.6072030019321816, 'learning_rate': 0.012194278842760316, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 450, 'min_gain_to_split': 0.8636060713565554, 'min_sum_hessian_in_leaf': 0.0004152901836843816, 'num_leaves': 89, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 300000, 'subsample': 0.8293103256356709}",16,3015,929.4133198620002
0.10792273325633794,"{'bagging_fraction': 1.0, 'bagging_freq': 1, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.9997359376596706, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.005125411133784845, 'lambda_l2': 0.454234948063483, 'learning_rate': 0.04726749304541683, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 400, 'min_gain_to_split': 0.24513858475906158, 'min_sum_hessian_in_leaf': 0.000915729946624721, 'num_leaves': 30, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 240000, 'subsample': 0.8932948308214942}",17,963,248.2460509579996
0.10490581374862518,"{'bagging_fraction': 1.0, 'bagging_freq': 6, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.8179011180180018, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.22282753805431665, 'lambda_l2': 0.6095888970474164, 'learning_rate': 0.013257137111862728, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 460, 'min_gain_to_split': 0.8751602548053297, 'min_sum_hessian_in_leaf': 0.00020596564746311704, 'num_leaves': 6, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 220000, 'subsample': 0.8213023797147998}",18,7947,642.0562957809998
0.10555521964532388,"{'bagging_fraction': 1.0, 'bagging_freq': 7, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.7121035549021667, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.2297263320120155, 'lambda_l2': 0.6117900959408669, 'learning_rate': 0.013706332634009106, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 475, 'min_gain_to_split': 0.9150304388822982, 'min_sum_hessian_in_leaf': 0.0001710406215302816, 'num_leaves': 49, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 200000, 'subsample': 0.8133481643447191}",19,2913,712.5875858339987
0.10508604181182724,"{'bagging_fraction': 1.0, 'bagging_freq': 6, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.8153520817077248, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.12309349204543966, 'lambda_l2': 0.691052656365102, 'learning_rate': 0.011551565860022523, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 425, 'min_gain_to_split': 0.764277765219253, 'min_sum_hessian_in_leaf': 0.00011816297443285045, 'num_leaves': 10, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 260000, 'subsample': 0.764334321433481}",20,6729,713.7637786739997
0.10511349124011282,"{'bagging_fraction': 1.0, 'bagging_freq': 5, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.8181226165362028, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.1274269612518443, 'lambda_l2': 0.6855952009957363, 'learning_rate': 0.010277712792884567, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 425, 'min_gain_to_split': 0.7748730044007335, 'min_sum_hessian_in_leaf': 0.00010709291087930445, 'num_leaves': 5, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 300000, 'subsample': 0.7539478938693436}",21,9998,740.5783368060002
0.10573951011630256,"{'bagging_fraction': 1.0, 'bagging_freq': 6, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.860184837408167, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.2450629137751457, 'lambda_l2': 0.8046619250068753, 'learning_rate': 0.019666779518313304, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 370, 'min_gain_to_split': 0.6328189338891206, 'min_sum_hessian_in_leaf': 0.00026927756013326963, 'num_leaves': 21, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 260000, 'subsample': 0.706962546864983}",22,2454,442.4142802259994
0.10710712033384406,"{'bagging_fraction': 1.0, 'bagging_freq': 4, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.9230871534552832, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.3853994124948137, 'lambda_l2': 0.6758136740560244, 'learning_rate': 0.0255953147662886, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 250, 'min_gain_to_split': 0.7595066649827464, 'min_sum_hessian_in_leaf': 0.000136280807896554, 'num_leaves': 46, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 260000, 'subsample': 0.7925971374048191}",23,1389,430.05738419500085
0.10925419408576698,"{'bagging_fraction': 1.0, 'bagging_freq': 7, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.8083609546550131, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.15838282787405356, 'lambda_l2': 0.8971677921568835, 'learning_rate': 0.04141657941640061, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 360, 'min_gain_to_split': 0.8980837713539056, 'min_sum_hessian_in_leaf': 0.008512148331147376, 'num_leaves': 90, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 220000, 'subsample': 0.8422672948169182}",24,990,382.49188236100053
0.10828744894392472,"{'bagging_fraction': 1.0, 'bagging_freq': 9, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.8402887742727828, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.30248903673772587, 'lambda_l2': 0.9570815777581383, 'learning_rate': 0.014963944570084117, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 250, 'min_gain_to_split': 0.6997543066463886, 'min_sum_hessian_in_leaf': 0.00029805941732478593, 'num_leaves': 132, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 200000, 'subsample': 0.7864586847905629}",25,3261,1335.4188060720007
0.10594376750654833,"{'bagging_fraction': 1.0, 'bagging_freq': 4, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.7573038567767572, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.06266640498873463, 'lambda_l2': 0.4598473455792395, 'learning_rate': 0.027987183526637243, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 335, 'min_gain_to_split': 0.32610276496212953, 'min_sum_hessian_in_leaf': 0.0011759426171879357, 'num_leaves': 19, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 260000, 'subsample': 0.6970544016286206}",26,1950,290.6644939330017
0.10530139830185092,"{'bagging_fraction': 1.0, 'bagging_freq': 6, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.8902215909493074, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.7321072544447477, 'lambda_l2': 0.552748701347469, 'learning_rate': 0.011835547132084123, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 125, 'min_gain_to_split': 0.7942756339740998, 'min_sum_hessian_in_leaf': 0.0002054633556230029, 'num_leaves': 7, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 200000, 'subsample': 0.8547792962672403}",27,7450,698.1040029520009
