,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bylevel,param_colsample_bytree,param_gamma,param_max_delta_step,param_max_depth,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_subsample,params
10,0.8700552321241977,0.868114643976713,0.8390058217644425,0.8608747574264817,0.868845490235303,0.8686485399809016,0.867542845655124,0.8448007237271951,0.8880735789314972,0.8623661858571644,0.8638253929614274,0.013022700727199448,1,6.706959009170532,1.14291297275095,0.02117953300476074,0.01047116192436183,0.01,1.0,0.023855252245281098,7,8,14,1.0,57.62441658321842,0.6654230861897868,1.0,"{'colsample_bylevel': 0.01, 'colsample_bytree': 1.0, 'gamma': 0.023855252245281098, 'max_delta_step': 7, 'max_depth': 8, 'min_child_weight': 14, 'reg_alpha': 1.0, 'reg_lambda': 57.62441658321842, 'scale_pos_weight': 0.6654230861897868, 'subsample': 1.0}"
11,0.8716475095785442,0.8661989351644525,0.8606757227446883,0.8513708513708513,0.8649946237903527,0.8621400211087099,0.8797808714881641,0.8459566768859625,0.8890033673418103,0.8480675478715385,0.8639808440790678,0.012997246633664646,1,7.236264443397522,1.2772153328659983,0.02694840431213379,0.015832906128439985,0.01,1.0,0.49999999999999994,20,7,2,1.0,0.6239124288959859,0.4370837567768765,1.0,"{'colsample_bylevel': 0.01, 'colsample_bytree': 1.0, 'gamma': 0.49999999999999994, 'max_delta_step': 20, 'max_depth': 7, 'min_child_weight': 2, 'reg_alpha': 1.0, 'reg_lambda': 0.6239124288959859, 'scale_pos_weight': 0.4370837567768765, 'subsample': 1.0}"
12,0.8649549684032444,0.847041847041847,0.8362193362193363,0.8277354829078967,0.8625940836688255,0.8511082072674273,0.8587978087148815,0.8275493793034125,0.8712368698798814,0.8255013318590743,0.847271188833178,0.016232378381342345,1,6.5633302450180055,1.7077651672424485,0.016879630088806153,0.002624261025170201,0.01,0.6818397081069906,0.01325820772113201,0,8,15,1.0,1000.0,35.09871950203927,1.0,"{'colsample_bylevel': 0.01, 'colsample_bytree': 0.6818397081069906, 'gamma': 0.01325820772113201, 'max_delta_step': 0, 'max_depth': 8, 'min_child_weight': 15, 'reg_alpha': 1.0, 'reg_lambda': 1000.0, 'scale_pos_weight': 35.09871950203927, 'subsample': 1.0}"
13,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1,3.9022057056427,0.7703308173570035,0.0037932395935058594,0.0013183182288715005,0.01,0.47257255993793845,0.49999999999999994,1,8,0,0.7903756402919894,1000.0,3.8368320823772617,0.01,"{'colsample_bylevel': 0.01, 'colsample_bytree': 0.47257255993793845, 'gamma': 0.49999999999999994, 'max_delta_step': 1, 'max_depth': 8, 'min_child_weight': 0, 'reg_alpha': 0.7903756402919894, 'reg_lambda': 1000.0, 'scale_pos_weight': 3.8368320823772617, 'subsample': 0.01}"
14,0.8630143802557595,0.8595810319948252,0.8559237697168732,0.8498034532517291,0.8633942637093346,0.8665627984118209,0.8794541890737296,0.8324873096446699,0.8894808262552144,0.8439714529828617,0.8603615294267513,0.015619706092187628,1,24.72394115924835,4.608304927849719,0.03322145938873291,0.0312613830748825,0.18288659882928374,0.7962579183917181,0.0915719319049377,9,7,16,0.1698063427109059,5.063526279738471,1.9291411286951323,0.9765818810126656,"{'colsample_bylevel': 0.18288659882928374, 'colsample_bytree': 0.7962579183917181, 'gamma': 0.0915719319049377, 'max_delta_step': 9, 'max_depth': 7, 'min_child_weight': 16, 'reg_alpha': 0.1698063427109059, 'reg_lambda': 5.063526279738471, 'scale_pos_weight': 1.9291411286951323, 'subsample': 0.9765818810126656}"
15,0.7949942777528984,0.8358959048614222,0.809299895506792,0.8041996317858386,0.8079317846515466,0.7869276775393274,0.8230637784590642,0.8182389304920339,0.8497009599437101,0.8067799165703373,0.8136966195229034,0.017754420616721733,1,5.985815334320068,0.7146914573630179,0.019817924499511717,0.012644027144165109,1.0,0.01,0.12742369534982395,20,6,15,0.01,0.01,0.43622897686955436,0.8224404995928047,"{'colsample_bylevel': 1.0, 'colsample_bytree': 0.01, 'gamma': 0.12742369534982395, 'max_delta_step': 20, 'max_depth': 6, 'min_child_weight': 15, 'reg_alpha': 0.01, 'reg_lambda': 0.01, 'scale_pos_weight': 0.43622897686955436, 'subsample': 0.8224404995928047}"
16,0.6538413693586107,0.6169328755535652,0.5599094392197841,0.5691396725879485,0.5379960491110499,0.6158717394582098,0.661871136352214,0.6249685882293813,0.6365783786500477,0.5528471628888776,0.602973306055268,0.042147627279931446,1,5.867211127281189,1.244908675425179,0.00507354736328125,0.001500913551768786,1.0,1.0,0.01,0,6,20,0.01,0.01,499.99999999999994,0.01,"{'colsample_bylevel': 1.0, 'colsample_bytree': 1.0, 'gamma': 0.01, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 20, 'reg_alpha': 0.01, 'reg_lambda': 0.01, 'scale_pos_weight': 499.99999999999994, 'subsample': 0.01}"
17,0.8023834403144748,0.8129073991142957,0.7930536896054137,0.8235557545902373,0.8359130804430998,0.7984118208775192,0.8178368598281147,0.7957732321455495,0.8387445343519122,0.7961501733929738,0.8114721124102187,0.016130237319059566,1,52.84014925956726,10.955712100516838,0.020049548149108885,0.005422851854755574,0.5329267044730661,0.6375404181110641,0.341833433168211,13,8,2,0.4236768371227768,0.3172502899922805,499.99999999999994,0.9796903231582348,"{'colsample_bylevel': 0.5329267044730661, 'colsample_bytree': 0.6375404181110641, 'gamma': 0.341833433168211, 'max_delta_step': 13, 'max_depth': 8, 'min_child_weight': 2, 'reg_alpha': 0.4236768371227768, 'reg_lambda': 0.3172502899922805, 'scale_pos_weight': 499.99999999999994, 'subsample': 0.9796903231582348}"
18,0.8540080609046127,0.8515947653878688,0.8379360103498035,0.8316912972085385,0.8671201020229552,0.8532944665024877,0.8780720711665074,0.8306779916570337,0.870432728552043,0.8417600643313061,0.851646915740161,0.015558517777455923,1,38.84283349514008,9.987730726009843,0.014868545532226562,0.004457442175786366,0.2859147497193959,0.6769418731028196,0.49999999999999994,20,7,0,0.06815099597311676,0.01,0.44537710671817093,0.7120208917691443,"{'colsample_bylevel': 0.2859147497193959, 'colsample_bytree': 0.6769418731028196, 'gamma': 0.49999999999999994, 'max_delta_step': 20, 'max_depth': 7, 'min_child_weight': 0, 'reg_alpha': 0.06815099597311676, 'reg_lambda': 0.01, 'scale_pos_weight': 0.44537710671817093, 'subsample': 0.7120208917691443}"
19,0.8434094640991193,0.8374881823157685,0.8232323232323233,0.8404985818778922,0.8546673001425321,0.8422626526612053,0.8415590289993466,0.809317987636327,0.864049856762326,0.8126350706136604,0.8369149745664047,0.01640493417010153,1,42.268141055107115,8.816899485254524,0.016619086265563965,0.005100771946732908,0.9054121062789067,1.0,0.025118188686149002,9,7,17,0.014295079122409935,1.2030856228026674,0.23119057143928307,0.4453424294692128,"{'colsample_bylevel': 0.9054121062789067, 'colsample_bytree': 1.0, 'gamma': 0.025118188686149002, 'max_delta_step': 9, 'max_depth': 7, 'min_child_weight': 17, 'reg_alpha': 0.014295079122409935, 'reg_lambda': 1.2030856228026674, 'scale_pos_weight': 0.23119057143928307, 'subsample': 0.4453424294692128}"
