,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bylevel,param_colsample_bytree,param_gamma,param_max_bin,param_max_delta_step,param_max_depth,param_min_child_samples,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_subsample,param_subsample_for_bin,param_subsample_freq,params
10,0.873632451130239,0.868588196106377,0.8682365305113426,0.8706835853023125,0.8714077108001186,0.8705097918827897,0.0019722384394930737,1,155.1997842311859,1.286498054954449,6.358999395370484,0.4231960485830953,0.32857690643411785,0.43366743252191675,0.19844253946851587,850,17,12,42,12,1.0,0.1454700526815287,33.45863718327912,0.32587265160973716,209280,3,"{'colsample_bylevel': 0.32857690643411785, 'colsample_bytree': 0.43366743252191675, 'gamma': 0.19844253946851587, 'max_bin': 850, 'max_delta_step': 17, 'max_depth': 12, 'min_child_samples': 42, 'min_child_weight': 12, 'reg_alpha': 1.0, 'reg_lambda': 0.1454700526815287, 'scale_pos_weight': 33.45863718327912, 'subsample': 0.32587265160973716, 'subsample_for_bin': 209280, 'subsample_freq': 3}"
11,0.8852505252068342,0.8817876489162587,0.8786459675291565,0.8807577020181505,0.880761860879698,0.8814408593881978,0.0021621521674461135,1,88.35600943565369,0.5955339277770383,7.023209762573242,0.4387688295385012,0.385833180780333,0.45137485115924675,0.011422108236862242,100,20,9,36,19,0.2976213736437823,0.0021882576010033255,230.44417314079647,0.7441637930985361,287044,8,"{'colsample_bylevel': 0.385833180780333, 'colsample_bytree': 0.45137485115924675, 'gamma': 0.011422108236862242, 'max_bin': 100, 'max_delta_step': 20, 'max_depth': 9, 'min_child_samples': 36, 'min_child_weight': 19, 'reg_alpha': 0.2976213736437823, 'reg_lambda': 0.0021882576010033255, 'scale_pos_weight': 230.44417314079647, 'subsample': 0.7441637930985361, 'subsample_for_bin': 287044, 'subsample_freq': 8}"
12,0.8863023891883195,0.8822300357236534,0.8775847808105873,0.8828267839968554,0.8807181444745945,0.8819325627376189,0.0028412405195603983,1,178.52995491027832,1.2648726269460462,5.9449138164520265,0.43541703473840826,0.5447321073292221,0.689559548843798,0.01,426,13,12,22,20,0.7966900476208586,0.05905416598434505,0.23497655517415514,0.9183687205758093,492045,3,"{'colsample_bylevel': 0.5447321073292221, 'colsample_bytree': 0.689559548843798, 'gamma': 0.01, 'max_bin': 426, 'max_delta_step': 13, 'max_depth': 12, 'min_child_samples': 22, 'min_child_weight': 20, 'reg_alpha': 0.7966900476208586, 'reg_lambda': 0.05905416598434505, 'scale_pos_weight': 0.23497655517415514, 'subsample': 0.9183687205758093, 'subsample_for_bin': 492045, 'subsample_freq': 3}"
13,0.8697635950446463,0.8714709641827239,0.8649485152283969,0.8690775877210289,0.8707912321139939,0.8692103960622937,0.002284545569122498,1,42.158032989501955,0.34354698654068005,5.431075811386108,0.4562681224841605,0.9493143093320345,0.3007999297100552,0.012671567659483757,225,11,10,30,20,0.2764207714642151,0.012497029100968058,0.3039379991752487,0.325025913753142,176265,8,"{'colsample_bylevel': 0.9493143093320345, 'colsample_bytree': 0.3007999297100552, 'gamma': 0.012671567659483757, 'max_bin': 225, 'max_delta_step': 11, 'max_depth': 10, 'min_child_samples': 30, 'min_child_weight': 20, 'reg_alpha': 0.2764207714642151, 'reg_lambda': 0.012497029100968058, 'scale_pos_weight': 0.3039379991752487, 'subsample': 0.325025913753142, 'subsample_for_bin': 176265, 'subsample_freq': 8}"
14,0.8785609062022363,0.8766123809501702,0.8748292932411342,0.8768632666909622,0.8780310363263982,0.8769794258652105,0.0012944789060290282,1,106.61854906082154,0.891435967135148,4.409808111190796,0.3916253740876284,1.0,0.49554631734136384,0.01,817,6,3,0,20,0.061514794491877856,0.0001,110.98005450273877,0.5577066106862048,500000,10,"{'colsample_bylevel': 1.0, 'colsample_bytree': 0.49554631734136384, 'gamma': 0.01, 'max_bin': 817, 'max_delta_step': 6, 'max_depth': 3, 'min_child_samples': 0, 'min_child_weight': 20, 'reg_alpha': 0.061514794491877856, 'reg_lambda': 0.0001, 'scale_pos_weight': 110.98005450273877, 'subsample': 0.5577066106862048, 'subsample_for_bin': 500000, 'subsample_freq': 10}"
15,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1,76.26177759170533,0.21590072670541482,0.015165996551513673,0.0007448228983740706,0.43807545314486457,0.8663010195122707,0.156416521666876,970,8,15,7,15,0.10204384720718704,0.0001,0.00023535756039065324,0.5537122448554191,231092,6,"{'colsample_bylevel': 0.43807545314486457, 'colsample_bytree': 0.8663010195122707, 'gamma': 0.156416521666876, 'max_bin': 970, 'max_delta_step': 8, 'max_depth': 15, 'min_child_samples': 7, 'min_child_weight': 15, 'reg_alpha': 0.10204384720718704, 'reg_lambda': 0.0001, 'scale_pos_weight': 0.00023535756039065324, 'subsample': 0.5537122448554191, 'subsample_for_bin': 231092, 'subsample_freq': 6}"
16,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1,50.84516968727112,0.5883074062634017,0.015159797668457032,0.00039830260628978434,0.6576344828132331,0.7917412404796467,0.01,566,0,6,21,17,1.0,6.951049879297184,0.0009585882738339021,0.3858145025754933,317376,6,"{'colsample_bylevel': 0.6576344828132331, 'colsample_bytree': 0.7917412404796467, 'gamma': 0.01, 'max_bin': 566, 'max_delta_step': 0, 'max_depth': 6, 'min_child_samples': 21, 'min_child_weight': 17, 'reg_alpha': 1.0, 'reg_lambda': 6.951049879297184, 'scale_pos_weight': 0.0009585882738339021, 'subsample': 0.3858145025754933, 'subsample_for_bin': 317376, 'subsample_freq': 6}"
17,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1,72.0771623134613,1.0075291090447618,0.015158987045288086,0.00039894593308417833,0.7172276667514668,0.9958812160670732,0.01,100,1,11,3,20,0.16118743519245962,0.3974784709941089,0.0003219033428009191,1.0,500000,3,"{'colsample_bylevel': 0.7172276667514668, 'colsample_bytree': 0.9958812160670732, 'gamma': 0.01, 'max_bin': 100, 'max_delta_step': 1, 'max_depth': 11, 'min_child_samples': 3, 'min_child_weight': 20, 'reg_alpha': 0.16118743519245962, 'reg_lambda': 0.3974784709941089, 'scale_pos_weight': 0.0003219033428009191, 'subsample': 1.0, 'subsample_for_bin': 500000, 'subsample_freq': 3}"
18,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1,23.396814393997193,0.6131158203598701,0.014960718154907227,0.0006309786213040693,0.7748686375753102,0.7454914943929418,0.022870401625708754,102,1,10,41,19,0.7624256987650392,1.0994316308429761,0.0005797967236646431,0.17469110348687167,101376,7,"{'colsample_bylevel': 0.7748686375753102, 'colsample_bytree': 0.7454914943929418, 'gamma': 0.022870401625708754, 'max_bin': 102, 'max_delta_step': 1, 'max_depth': 10, 'min_child_samples': 41, 'min_child_weight': 19, 'reg_alpha': 0.7624256987650392, 'reg_lambda': 1.0994316308429761, 'scale_pos_weight': 0.0005797967236646431, 'subsample': 0.17469110348687167, 'subsample_for_bin': 101376, 'subsample_freq': 7}"
19,0.8845200506797523,0.8778987264985636,0.8719028087596844,0.8786214979484239,0.8741889252805394,0.8774266224344889,0.004312017329458137,1,106.03650603294372,0.9492142084059734,5.660261821746826,0.39330235976477934,0.6438271539626804,0.6327250304665935,0.01,308,15,10,19,13,0.4214239601921419,0.0008891409381305841,0.5441007740899864,0.4528238836655741,311847,10,"{'colsample_bylevel': 0.6438271539626804, 'colsample_bytree': 0.6327250304665935, 'gamma': 0.01, 'max_bin': 308, 'max_delta_step': 15, 'max_depth': 10, 'min_child_samples': 19, 'min_child_weight': 13, 'reg_alpha': 0.4214239601921419, 'reg_lambda': 0.0008891409381305841, 'scale_pos_weight': 0.5441007740899864, 'subsample': 0.4528238836655741, 'subsample_for_bin': 311847, 'subsample_freq': 10}"
